topic,topic_name,review_id,thumbs_up_count,app_version,review_time,example_review,rep_score
0,Performance / Crash,193af797-c09f-4d82-910f-74504faa817a,1,1.2025.182,2025-07-11 10:00:37,you are very slow,0.18563229483414845
0,Performance / Crash,e85a314e-0acd-4949-9d13-df9d509c5270,1,1.2025.189,2025-07-18 01:48:03,"it sucks,it's not helping and making my phone lag",0.06277640840503951
0,Performance / Crash,3f568f5b-da4a-40d4-b2fb-bdac4a878d3d,1,1.2025.182,2025-07-12 11:25:01,"it is soooooooooo slow like in visual picture things so baaaaddddd. but in talking ""heaven"" so nice.",0.07322758467504627
0,Performance / Crash,beabafaf-fbc4-4004-aa21-cbaddb26b94e,0,1.2025.189,2025-07-15 23:33:30,very glitchy,0.0
0,Performance / Crash,41e092d0-72cf-4aeb-afaa-b41216bfb1a3,0,,2025-07-16 00:57:10,too expansive,0.0
1,"Like, Don Like, Amazing",3db4ceb5-a956-49e9-9839-7657b9f0384c,73,1.2025.189,2025-07-15 05:40:27,"it was a great app and I loved to use it but major problem is like every update it just worsens the experience like for an example 1. I was able to save any information I wanted by a direct command , like I could say save this....and it would save , now it has a whole thing like it saves what it want and you can't give direct command that's ruined multiple things for me . 2 , it can't open URLs I give it , it was able to do it before in previous versions but not now",0.3618802030101314
1,"Like, Don Like, Amazing",e7e9df31-4c91-4321-b282-af4274ee2fc6,39,1.2025.189,2025-07-19 06:26:35,"I had purchased the ChatGPT Plus subscription via GPay, expecting premium features like voice generation, advanced support, and video tools — all of which were heavily promoted. But after using it, I was extremely disappointed. The voice tools don’t work, video generation fails, and most promised features are either unavailable or hidden behind vague system limitations like “timeout” or “tool not supported.” Even basic services like generating audio or video content do not function as expected.",0.22908525921566097
1,"Like, Don Like, Amazing",042a052d-3449-4a0f-9a9a-b3bfe0f9bcc0,118,1.2025.189,2025-07-20 14:44:01,"As someone who came here looking for clarity, support, and proper guidance, I was left frustrated. When I speak respectfully, I expect the same energy back — not robotic or cold replies that miss the point or feel out of touch. Sometimes, it feels like the assistant assumes too much instead of actually listening. There were moments where I felt more irritated than helped. It’s not about perfection, but connection — and that was missing.",0.22707717731781626
1,"Like, Don Like, Amazing",eba174bb-0bcc-4004-a510-efb9aeb191e2,36,1.2025.196,2025-07-25 05:04:48,it feels the GPT got so nerfed and why not add camera and screen share like Gemini and and more Google Assistant feature's,0.1983057135099091
1,"Like, Don Like, Amazing",85a4ee86-7f25-4874-918f-e1a45ed69b50,1,1.2025.203,2025-07-26 05:48:10,before its update it was more cheerfull abd more friendly but now its like so cold and distant,0.18968536979103962
2,"Time, Waste, Waste Time",83b37009-b60d-41e9-b569-6d5418ef8e06,222,1.2025.182,2025-07-13 12:53:57,"Hello, I’ve been using ChatGPT for a while its has many technical issues it can't convert the whole text just typed into a PDf instead ask for more time again and again it wasted my 7 hours and just can't make a pdf and asking for more time what the heck is this. please just add a feature to generate complete PDF properly.",0.5040051437451553
2,"Time, Waste, Waste Time",d3b40cc9-e5ad-48ea-ba5e-c0af280c4d29,2,1.2025.182,2025-07-10 11:18:10,It is almost useless and wastes valuable time,0.4295650719330606
2,"Time, Waste, Waste Time",e13a48f9-09e3-4b25-b5e4-d6f3ce92e63d,12,1.2025.189,2025-07-16 20:36:25,"This app is useless. It constantly misunderstands simple prompts, gives irrelevant junk answers, and never improves no matter how many times it fails. The repetitive mistakes makes it frustrating to read. Nothing about it feels intelligent or helpful. All hype, no results. Total waste of time and effort. Worst experience I’ve had with any app.",0.25467687384413573
2,"Time, Waste, Waste Time",d44d0c2d-9d5f-4942-9265-7fc71e38ee50,15,1.2025.196,2025-07-24 17:30:06,SPEECH TO TEXT IS AWFUL NOW. GIVE US BACK THE ABILITY TO SEE HOW LONG OUR RECORDINGS ARE AND THE ABILITY TO PAUSE AND CONTINUE INSTEAD OF LIMITING OUR INDIRECTLY AUDIO MESSAGE LENGTHS BY NOT BEING ABLE TO SEE THE TIMER AND GOING OVER 3 MINUTES TO HAVE THE SPEECH TO TEXT CONVERSION PROCESS CRASH AND WASTE TIME.,0.2505370832745363
